Culture,Age,DIV,Genotype,mean_FR,median_FR,Total_FR,N_active_Es,meanSTTC,skewSTTC,netw_density,meanDegree,skewDegree,netw_size,CC1,PL1,GE1,SW1,RC1,BC1,CC2,PL2,GE2,SW2,RC2,BC2,mean_ISI_withinNbursts_ms,mean_ISI_outsideNbursts_ms,CVIofNBI,NBurstRate,frac_in_Nburst,num_RC_nodes_mean,GEraw
MPT200209_2A,DIV14,14,WT,4.284,2.69,252.756,59,0.361,,,,0.645535217,34.94736842,1.000044616,1,1,1.000044616,1,1.000023651,2.159675861,1,1,2.159675861,2,1.936305292,1.816398185,5.83,2.751,82.667,0.357,26,0.700175336
MPT200209_2A,DIV21,21,WT,1.207,1.376,10.863,9,0.405,,,,0.041104669,5.157894737,1,1,1,1,1,,1,1,1,1,1,,3.0896,92.041,1.07,1.25,0.075,9,1
MPT200209_2A,DIV28,28,WT,0.955,0.388,11.46,12,0.358,,,,0.571115082,6.315789474,1,1,1,1,1,,1,1,1,1,1,,2.57664,86.769,1.222,2.083,0.132,12,1
MPT200209_2A,DIV35,35,WT,0.874,0.453,8.74,10,0.377,,,,0.424183928,5.421052632,1,1,1,1,1,,1,1,1,1,1,,2.5,113.964,0.632,0.583,0.039,10,1
MPT200209_3B,DIV14,14,KO,0.446,0.446,0.892,2,0,,,,,,,,,,,,,,,,,,,,,,,,
MPT200209_3B,DIV21,21,KO,0.058,0.058,0.116,2,0,,,,,,,,,,,,,,,,,,,,,,,,
MPT200209_3B,DIV28,28,KO,0.124,0.097,0.372,3,0.099,,,,2.775320985,0.315789474,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,0,0
MPT200209_3B,DIV35,35,KO,0.1,0.075,0.4,4,0.071,,,,0.319801075,0.842105263,0,3,0,0,0,0,0,3,0,0,0,0,,,,,,0,0
MPT200209_4A,DIV14,14,KO,0.098,0.087,0.784,8,0.019,,,,1.402318671,0.736842105,1,1,1,1,1,1,0.983606557,1,1,0.983606557,1.315789474,1,,,,,,5,0.85
MPT200209_4A,DIV21,21,KO,0.218,0.2,2.398,11,0.083,,,,1.263318168,2.631578947,1.008441369,1,1,1.008441369,1,1.067268716,1.153396571,1,1,1.153396571,1.01010101,1.103239188,,,,,,8,0.863636364
MPT200209_4A,DIV28,28,KO,0.227,0.185,2.497,11,0.107,,,,1.411768685,2.894736842,1,1,1,1,1,1,1.006399069,1,1,1.006399069,1,1,,,,,,10,0.977777778
MPT200209_4A,DIV35,35,KO,0.154,0.07,1.848,12,0.082,,,,0.852174385,2.947368421,1.000252136,1,1,1.000252136,1,1,1.268738767,1.002178649,0.996865204,1.265980639,1.242236025,1.107826383,,,,,,9,0.803030303
MPT200209_7A,DIV14,14,KO,0.025,0.021,0.1,4,-0.002,,,,,0,0,3,0,0,0,0,0,3,0,0,0,0,,,,,,0,0
MPT200209_7A,DIV21,21,KO,0.023,0.021,0.138,6,0.004,,,,4.006938427,0.105263158,0,5,0,0,0,0,0,5,0,0,0,0,,,,,,0,0
MPT200209_7A,DIV28,28,KO,0.062,0.06,0.372,6,0.01,,,,2.679771432,0.263157895,0,5,0,0,0,0,0,5,0,0,0,0,,,,,,0,0
MPT200209_7A,DIV35,35,KO,0.052,0.058,0.208,4,0.102,,,,-0.545544726,1.263157895,0,3,0,0,0,0,0,3,0,0,0,0,,,,,,0,0
MPT200209_7B,DIV14,14,KO,0.012,0.014,0.036,3,-0.001,,,,,0,0,2,0,0,0,0,0,2,0,0,0,0,,,,,,0,0
